md_metric,biomarker,n,spearman_rho,p_value,p_fdr,significant
sasa_phosphate_mean,PC_ratio,22,0.10333145115753813,0.6472364124252026,0.9373768731675348,False
hydrophobic_fraction,ALT,91,-0.020043399498308065,0.8504238748490985,0.9733422477142535,False
hydrophobic_fraction,AST,91,0.024948637503363173,0.8144094929803725,0.9733422477142535,False
hydrophobic_fraction,ALB,40,-0.05188151468961093,0.7505328771898843,0.9733422477142535,False
hydrophobic_fraction,BUN,91,-0.15977946205259475,0.13031369233661905,0.7818821540197143,False
hydrophobic_fraction,CREA,87,0.175529687671822,0.10390623049259408,0.7818821540197143,False
hydrophobic_fraction,TBIL,91,0.3307894214085103,0.0013620579420072245,0.1716193006929103,False
hydrophobic_fraction,PC_ratio,22,0.24110671936758896,0.2797303069403845,0.8580747103827531,False
dipole_magnitude_mean,ALT,91,-0.021381218773522906,0.8405678094987717,0.9733422477142535,False
dipole_magnitude_mean,AST,91,-0.03400277119034815,0.7489877980576638,0.9733422477142535,False
dipole_magnitude_mean,ALB,40,-0.12542043347043236,0.44063130702882225,0.9310449093698914,False
dipole_magnitude_mean,BUN,91,0.09063201106853666,0.3928929526964622,0.9310449093698914,False
dipole_magnitude_mean,CREA,87,-0.03029613043309569,0.7805823385924836,0.9733422477142535,False
dipole_magnitude_mean,TBIL,91,0.14204116715347492,0.17924734897116118,0.7906727473178716,False
dipole_magnitude_mean,PC_ratio,22,0.18238283455674761,0.41658263454025113,0.9310449093698914,False
dipole_asymmetry_mean,ALT,91,0.13724592385909395,0.19453059656233349,0.7906727473178716,False
dipole_asymmetry_mean,AST,91,0.17894854196475496,0.08966056999808639,0.7818821540197143,False
dipole_asymmetry_mean,ALB,40,-0.09789146649227146,0.5478840213817715,0.9362939579847822,False
dipole_asymmetry_mean,BUN,91,0.03189214000670744,0.7640991139223834,0.9733422477142535,False
dipole_asymmetry_mean,CREA,87,-0.12290817274136985,0.2567375177778548,0.8456085118629546,False
dipole_asymmetry_mean,TBIL,91,0.16523936562520342,0.11751878916940953,0.7818821540197143,False
dipole_asymmetry_mean,PC_ratio,22,0.2173913043478261,0.3311374194883423,0.9070285838158941,False
n_waters_shell1_mean,ALT,91,-0.0044753240039925035,0.9664174605335427,0.9856863418245888,False
n_waters_shell1_mean,AST,91,0.0758253834366499,0.4750056976555588,0.9351674672593814,False
n_waters_shell1_mean,ALB,40,-0.01212814629107788,0.9407912017074875,0.9856863418245888,False
n_waters_shell1_mean,BUN,91,-0.05093020159491935,0.6316268764183055,0.9362939579847822,False
n_waters_shell1_mean,CREA,87,0.13418030314934884,0.21532311484742145,0.8221428021447,False
n_waters_shell1_mean,TBIL,91,0.13834475091347423,0.19094808799593702,0.7906727473178716,False
n_waters_shell1_mean,PC_ratio,22,0.1236589497459063,0.5835085034918012,0.9362939579847822,False
n_waters_shell2_mean,ALT,91,-0.017001453289188603,0.8729180475532591,0.9733422477142535,False
n_waters_shell2_mean,AST,91,0.05797990094541566,0.5851300809825251,0.9362939579847822,False
n_waters_shell2_mean,ALB,40,-0.028299008012515052,0.86238590358133,0.9733422477142535,False
n_waters_shell2_mean,BUN,91,-0.062230315170509344,0.5578745850915345,0.9362939579847822,False
n_waters_shell2_mean,CREA,87,0.1485805409440081,0.16960968317367678,0.7906727473178716,False
n_waters_shell2_mean,TBIL,91,0.13998583226140557,0.18568692759242889,0.7906727473178716,False
n_waters_shell2_mean,PC_ratio,22,-0.010728402032749858,0.9622067945199976,0.9856863418245888,False
hydration_ratio_mean,ALT,91,0.028571997377802673,0.7880477778736877,0.9733422477142535,False
hydration_ratio_mean,AST,91,0.08186943573957128,0.44041965164803365,0.9310449093698914,False
hydration_ratio_mean,ALB,40,0.09933529343168548,0.54196708285165,0.9362939579847822,False
hydration_ratio_mean,BUN,91,0.022719762908326568,0.8307309319747235,0.9733422477142535,False
hydration_ratio_mean,CREA,87,0.00226172195888252,0.9834125089865734,0.9856863418245888,False
hydration_ratio_mean,TBIL,91,0.08840329960191315,0.4046817332219904,0.9310449093698914,False
hydration_ratio_mean,PC_ratio,22,0.33709768492377196,0.12499486927085442,0.7818821540197143,False
phosphate_exposure_mean,ALT,91,-0.12524536643201797,0.23684368612624657,0.8420984738520055,False
phosphate_exposure_mean,AST,91,-0.13894949754107377,0.18899691673770844,0.7906727473178716,False
phosphate_exposure_mean,ALB,40,-0.14303512213128358,0.37859539112666074,0.9310449093698914,False
phosphate_exposure_mean,BUN,91,0.12505034007627513,0.23758037430528522,0.8420984738520055,False
phosphate_exposure_mean,CREA,87,-0.1585941325200283,0.14232846139096447,0.7906727473178716,False
