Compound,Cortex,Hippocampus,Spinal Cord,Cerebellum,Brain Stem,Species,Dose,Time,Target
1273092,NA,38,37,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273093,NA,23,28,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273098,NA,23,17,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273099,NA,10,14,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273101,NA,32,29,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273102,NA,18,20,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273103,NA,5,12,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273104,NA,16,57,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273105,NA,9,34,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273106,NA,11,30,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273107,NA,8,24,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273108,NA,13,31,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273109,NA,13,30,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273110,NA,8,37,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273111,NA,12,46,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273113,NA,10,25,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273114,NA,26,46,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1273115,NA,7,15,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1165523,NA,17,38,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1165533,NA,19,31,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1165538,NA,25,64,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1165550,NA,11,47,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1165563,NA,12,30,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1165586,NA,19,35,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1165596,NA,49,69,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1165616,NA,25,109,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1165855,NA,16,49,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1165897,NA,28,39,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1179808,NA,36,83,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1179841,NA,9,22,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1179843,NA,11,22,NA,NA,Mouse,350ug,2w,UBE3A-ATS
1047198,44,NA,44,NA,NA,Mouse,300ug,1w,GFAP
1047211,66,NA,71,NA,NA,Mouse,300ug,1w,GFAP
1047225,61,NA,65,NA,NA,Mouse,300ug,1w,GFAP
1047298,27,NA,34,NA,NA,Mouse,300ug,1w,GFAP
1047316,24,NA,29,NA,NA,Mouse,300ug,1w,GFAP
1047362,21,NA,15,NA,NA,Mouse,300ug,1w,GFAP
1047373,16,NA,10,NA,NA,Mouse,300ug,1w,GFAP
1047374,16,NA,8,NA,NA,Mouse,300ug,1w,GFAP
1047386,19,NA,14,NA,NA,Mouse,300ug,1w,GFAP
1047394,43,NA,48,NA,NA,Mouse,300ug,1w,GFAP
1047402,25,NA,30,NA,NA,Mouse,300ug,1w,GFAP
1047432,29,NA,28,NA,NA,Mouse,300ug,1w,GFAP
1047448,45,NA,37,NA,NA,Mouse,300ug,1w,GFAP
1047500,26,NA,23,NA,NA,Mouse,300ug,1w,GFAP
1047518,34,NA,49,NA,NA,Mouse,300ug,1w,GFAP
1047522,19,NA,23,NA,NA,Mouse,300ug,1w,GFAP
1047532,30,NA,40,NA,NA,Mouse,300ug,1w,GFAP
1047579,17,NA,27,NA,NA,Mouse,300ug,1w,GFAP
1047580,15,NA,12,NA,NA,Mouse,300ug,1w,GFAP
1047581,10,NA,11,NA,NA,Mouse,300ug,1w,GFAP
1047582,8,NA,5,NA,NA,Mouse,300ug,1w,GFAP
1047583,9,NA,6,NA,NA,Mouse,300ug,1w,GFAP
1047584,7,NA,6,NA,NA,Mouse,300ug,1w,GFAP
1047585,7,NA,8,NA,NA,Mouse,300ug,1w,GFAP
1047586,11,NA,12,NA,NA,Mouse,300ug,1w,GFAP
1047587,13,NA,13,NA,NA,Mouse,300ug,1w,GFAP
1047589,13,NA,9,NA,NA,Mouse,300ug,1w,GFAP
1047590,16,NA,16,NA,NA,Mouse,300ug,1w,GFAP
1047591,17,NA,14,NA,NA,Mouse,300ug,1w,GFAP
1047598,50,NA,77,NA,NA,Mouse,300ug,1w,GFAP
1047599,15,NA,21,NA,NA,Mouse,300ug,1w,GFAP
1047601,30,NA,47,NA,NA,Mouse,300ug,1w,GFAP
1047609,18,NA,27,NA,NA,Mouse,300ug,1w,GFAP
1047610,31,NA,33,NA,NA,Mouse,300ug,1w,GFAP
1047662,27,NA,34,NA,NA,Mouse,300ug,1w,GFAP
1047679,54,NA,58,NA,NA,Mouse,300ug,1w,GFAP
1047711,38,NA,45,NA,NA,Mouse,300ug,1w,GFAP
1047884,62,NA,57,NA,NA,Mouse,300ug,1w,GFAP
1047913,66,NA,75,NA,NA,Mouse,300ug,1w,GFAP
1048027,53,NA,64,NA,NA,Mouse,300ug,1w,GFAP
1048151,64,NA,69,NA,NA,Mouse,300ug,1w,GFAP
1048182,10,NA,14,NA,NA,Mouse,300ug,1w,GFAP
1048201,7,NA,6,NA,NA,Mouse,300ug,1w,GFAP
1048203,27,NA,26,NA,NA,Mouse,300ug,1w,GFAP
1048204,18,NA,21,NA,NA,Mouse,300ug,1w,GFAP
1048227,28,NA,42,NA,NA,Mouse,300ug,1w,GFAP
1048350,24,NA,28,NA,NA,Mouse,300ug,1w,GFAP
1072813,18,NA,15,NA,NA,Mouse,300ug,1w,GFAP
1072814,19,NA,15,NA,NA,Mouse,300ug,1w,GFAP
1072857,14,NA,28,NA,NA,Mouse,300ug,1w,GFAP
1072861,23,NA,28,NA,NA,Mouse,300ug,1w,GFAP
1072862,33,NA,53,NA,NA,Mouse,300ug,1w,GFAP
1072863,28,NA,51,NA,NA,Mouse,300ug,1w,GFAP
1072886,26,NA,42,NA,NA,Mouse,300ug,1w,GFAP
1072980,25,NA,40,NA,NA,Mouse,300ug,1w,GFAP
1072986,88,NA,98,NA,NA,Mouse,300ug,1w,GFAP
1073033,80,NA,100,NA,NA,Mouse,300ug,1w,GFAP
1073045,24,NA,36,NA,NA,Mouse,300ug,1w,GFAP
1073060,16,NA,19,NA,NA,Mouse,300ug,1w,GFAP
1073063,15,NA,19,NA,NA,Mouse,300ug,1w,GFAP
1073064,20,NA,29,NA,NA,Mouse,300ug,1w,GFAP
1073065,15,NA,16,NA,NA,Mouse,300ug,1w,GFAP
1073093,8,NA,11,NA,NA,Mouse,300ug,1w,GFAP
1103202,36,NA,34,NA,NA,Mouse,300ug,1w,GFAP
1103217,43,NA,56,NA,NA,Mouse,300ug,1w,GFAP
1103218,33,NA,48,NA,NA,Mouse,300ug,1w,GFAP
1103253,36,NA,56,NA,NA,Mouse,300ug,1w,GFAP
1103256,41,NA,35,NA,NA,Mouse,300ug,1w,GFAP
1103257,43,NA,46,NA,NA,Mouse,300ug,1w,GFAP
1103259,71,NA,82,NA,NA,Mouse,300ug,1w,GFAP
1103279,14,NA,20,NA,NA,Mouse,300ug,1w,GFAP
1103285,9,NA,16,NA,NA,Mouse,300ug,1w,GFAP
1103411,32,NA,65,NA,NA,Mouse,300ug,1w,GFAP
1103465,19,NA,31,NA,NA,Mouse,300ug,1w,GFAP
1103471,39,NA,32,NA,NA,Mouse,300ug,1w,GFAP
1103502,31,NA,47,NA,NA,Mouse,300ug,1w,GFAP
1103516,27,NA,42,NA,NA,Mouse,300ug,1w,GFAP
1103567,18,NA,23,NA,NA,Mouse,300ug,1w,GFAP
1103570,4,NA,6,NA,NA,Mouse,300ug,1w,GFAP
1103872,18,NA,42,NA,NA,Mouse,300ug,1w,GFAP
1104093,12,NA,13,NA,NA,Mouse,300ug,1w,GFAP
1104116,3,NA,6,NA,NA,Mouse,300ug,1w,GFAP
1104127,10,NA,15,NA,NA,Mouse,300ug,1w,GFAP
1104144,8,NA,17,NA,NA,Mouse,300ug,1w,GFAP
1104145,6,NA,8,NA,NA,Mouse,300ug,1w,GFAP
1104152,17,NA,27,NA,NA,Mouse,300ug,1w,GFAP
1104159,10,NA,17,NA,NA,Mouse,300ug,1w,GFAP
1104166,13,NA,17,NA,NA,Mouse,300ug,1w,GFAP
1104175,8,NA,15,NA,NA,Mouse,300ug,1w,GFAP
1104276,41,NA,53,NA,NA,Mouse,300ug,1w,GFAP
1104307,14,NA,13,NA,NA,Mouse,300ug,1w,GFAP
1104309,11,NA,10,NA,NA,Mouse,300ug,1w,GFAP
1104311,18,NA,11,NA,NA,Mouse,300ug,1w,GFAP
1166719,31,NA,41,NA,NA,Mouse,300ug,1w,GFAP
1166720,8,NA,12,NA,NA,Mouse,300ug,1w,GFAP
1166721,8,NA,7,NA,NA,Mouse,300ug,1w,GFAP
1166738,27,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166739,27,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166740,26,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166742,43,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166744,14,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166746,94,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166747,23,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166748,20,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166749,11,NA,13,NA,NA,Mouse,300ug,1w,GFAP
1166750,7,NA,10,NA,NA,Mouse,300ug,1w,GFAP
1166751,9,NA,12,NA,NA,Mouse,300ug,1w,GFAP
1166757,7,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166758,34,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166759,9,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166760,16,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166761,5,NA,12,NA,NA,Mouse,300ug,1w,GFAP
1166762,18,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166763,13,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166775,21,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166776,30,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166777,13,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166778,6,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166779,7,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166780,9,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166781,7,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166782,12,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166783,17,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166784,30,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166785,13,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166786,19,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166787,19,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166793,23,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166794,32,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166795,51,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166798,25,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166799,33,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166800,8,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166802,38,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166803,31,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166804,29,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166805,7,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166806,23,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166807,19,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166808,14,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166809,13,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166810,16,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166812,23,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166813,21,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166814,29,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166815,42,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166816,31,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166817,37,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166818,14,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166819,9,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166820,12,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166821,15,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166822,20,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166823,7,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166826,6,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166831,16,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166835,47,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166841,47,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166842,14,NA,19,NA,NA,Mouse,300ug,1w,GFAP
1166843,21,NA,37,NA,NA,Mouse,300ug,1w,GFAP
1166845,19,NA,17,NA,NA,Mouse,300ug,1w,GFAP
1166846,18,NA,12,NA,NA,Mouse,300ug,1w,GFAP
1166847,19,NA,13,NA,NA,Mouse,300ug,1w,GFAP
1166852,15,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166867,13,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166869,11,NA,10,NA,NA,Mouse,300ug,1w,GFAP
1166870,7,NA,6,NA,NA,Mouse,300ug,1w,GFAP
1166871,7,NA,5,NA,NA,Mouse,300ug,1w,GFAP
1166872,9,NA,10,NA,NA,Mouse,300ug,1w,GFAP
1166873,14,NA,14,NA,NA,Mouse,300ug,1w,GFAP
1166874,10,NA,9,NA,NA,Mouse,300ug,1w,GFAP
1166875,7,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166877,7,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166878,13,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166885,20,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166886,25,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166887,12,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166888,16,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166890,38,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166893,39,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166894,20,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166896,8,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166897,6,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166898,8,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166900,20,NA,14,NA,NA,Mouse,300ug,1w,GFAP
1166901,13,NA,11,NA,NA,Mouse,300ug,1w,GFAP
1166902,15,NA,12,NA,NA,Mouse,300ug,1w,GFAP
1166903,19,NA,17,NA,NA,Mouse,300ug,1w,GFAP
1166904,30,NA,26,NA,NA,Mouse,300ug,1w,GFAP
1166905,28,NA,24,NA,NA,Mouse,300ug,1w,GFAP
1166906,56,NA,50,NA,NA,Mouse,300ug,1w,GFAP
1166907,32,NA,28,NA,NA,Mouse,300ug,1w,GFAP
1166909,30,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166910,8,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166911,7,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166912,15,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166913,12,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166916,14,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166920,18,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166926,14,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166927,15,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166928,13,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166929,15,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166932,41,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166933,13,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166934,18,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166940,16,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166946,34,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166948,41,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166954,16,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166975,6,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166984,24,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166985,9,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166986,13,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166987,7,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166988,5,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166989,4,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166990,9,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166991,14,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166993,9,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166994,10,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166996,21,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166997,30,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1166998,13,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167000,15,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167001,9,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167002,7,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167003,8,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167004,13,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167007,44,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167011,21,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167012,23,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167017,8,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167024,18,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167025,11,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167026,14,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167027,13,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167033,9,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167035,15,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167036,19,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167037,25,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167040,15,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167046,14,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167050,11,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167051,10,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167053,7,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167054,5,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167055,6,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167056,6,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167057,7,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167058,5,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167059,5,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1167060,8,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174012,9,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174013,33,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174015,107,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174016,66,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174020,12,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174024,52,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174026,7,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174029,32,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174030,75,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174031,35,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174034,17,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174036,43,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174037,24,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174050,10,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174051,15,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174053,22,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174054,40,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174056,7,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174058,14,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174059,14,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174060,19,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174061,17,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174062,12,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174063,12,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174065,10,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1174066,13,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1199982,4,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1199983,13,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1199984,16,NA,NA,NA,NA,Mouse,300ug,1w,GFAP
1247564,36,NA,27,58,29,Mouse,300ug,2w,ATXN3
1247565,32,NA,28,57,28,Mouse,300ug,2w,ATXN3
1247566,33,NA,23,53,26,Mouse,300ug,2w,ATXN3
1247567,68,NA,59,79,62,Mouse,300ug,2w,ATXN3
1247568,27,NA,30,51,29,Mouse,300ug,2w,ATXN3
1248257,48,NA,45,64,46,Mouse,300ug,2w,ATXN3
1248258,85,NA,71,104,87,Mouse,300ug,2w,ATXN3
1248259,67,NA,64,79,60,Mouse,300ug,2w,ATXN3
1248260,41,NA,42,66,44,Mouse,300ug,2w,ATXN3
1248261,98,NA,74,97,85,Mouse,300ug,2w,ATXN3
1248262,93,NA,73,102,86,Mouse,300ug,2w,ATXN3
1248263,33,NA,29,52,28,Mouse,300ug,2w,ATXN3
1248264,90,NA,73,99,92,Mouse,300ug,2w,ATXN3
1248265,93,NA,85,105,102,Mouse,300ug,2w,ATXN3
1248266,50,NA,29,66,30,Mouse,300ug,2w,ATXN3
1248267,108,NA,80,99,84,Mouse,300ug,2w,ATXN3
1248268,92,NA,82,97,90,Mouse,300ug,2w,ATXN3
1248269,101,NA,73,89,84,Mouse,300ug,2w,ATXN3
1248270,61,NA,59,68,47,Mouse,300ug,2w,ATXN3
1248271,82,NA,66,83,76,Mouse,300ug,2w,ATXN3
1248272,93,NA,90,86,90,Mouse,300ug,2w,ATXN3
1248273,66,NA,62,99,63,Mouse,300ug,2w,ATXN3
1248274,29,NA,28,60,29,Mouse,300ug,2w,ATXN3
1248275,72,NA,59,90,70,Mouse,300ug,2w,ATXN3
1248276,85,NA,98,99,97,Mouse,300ug,2w,ATXN3
1248277,78,NA,72,99,79,Mouse,300ug,2w,ATXN3
1248278,54,NA,49,93,47,Mouse,300ug,2w,ATXN3
1248279,86,NA,69,74,60,Mouse,300ug,2w,ATXN3
1248280,83,NA,66,72,57,Mouse,300ug,2w,ATXN3
1248281,53,NA,60,67,43,Mouse,300ug,2w,ATXN3
1248282,76,NA,84,87,67,Mouse,300ug,2w,ATXN3
1248283,20,NA,25,54,23,Mouse,300ug,2w,ATXN3
1248284,32,NA,29,73,35,Mouse,300ug,2w,ATXN3
1248285,66,NA,65,74,65,Mouse,300ug,2w,ATXN3
1248286,75,NA,65,89,76,Mouse,300ug,2w,ATXN3
1248287,44,NA,46,63,43,Mouse,300ug,2w,ATXN3
1248288,29,NA,44,67,40,Mouse,300ug,2w,ATXN3
1248289,50,NA,58,79,52,Mouse,300ug,2w,ATXN3
1248290,34,NA,23,60,20,Mouse,300ug,2w,ATXN3
1248291,72,NA,52,84,68,Mouse,300ug,2w,ATXN3
1248292,31,NA,33,70,27,Mouse,300ug,2w,ATXN3
1248293,83,NA,75,90,79,Mouse,300ug,2w,ATXN3
1248294,93,NA,62,86,79,Mouse,300ug,2w,ATXN3
1248295,84,NA,58,83,55,Mouse,300ug,2w,ATXN3
1248296,73,NA,66,81,70,Mouse,300ug,2w,ATXN3
1248297,66,NA,62,65,62,Mouse,300ug,2w,ATXN3
1248298,84,NA,80,79,74,Mouse,300ug,2w,ATXN3
1248299,93,NA,84,94,84,Mouse,300ug,2w,ATXN3
1248300,86,NA,70,82,70,Mouse,300ug,2w,ATXN3
1269442,28,NA,41,63,46,Mouse,300ug,2w,ATXN3
1269443,48,NA,58,66,51,Mouse,300ug,2w,ATXN3
1269444,43,NA,51,65,49,Mouse,300ug,2w,ATXN3
1269445,49,NA,44,58,57,Mouse,300ug,2w,ATXN3
1269446,59,NA,64,72,70,Mouse,300ug,2w,ATXN3
1269447,48,NA,56,77,62,Mouse,300ug,2w,ATXN3
1269448,35,NA,40,60,46,Mouse,300ug,2w,ATXN3
1269449,28,NA,38,50,43,Mouse,300ug,2w,ATXN3
1269450,62,NA,68,89,70,Mouse,300ug,2w,ATXN3
1269451,74,NA,70,101,85,Mouse,300ug,2w,ATXN3
1269452,84,NA,85,94,69,Mouse,300ug,2w,ATXN3
1269453,74,NA,64,87,50,Mouse,300ug,2w,ATXN3
1269454,48,NA,43,75,33,Mouse,300ug,2w,ATXN3
1269455,20,NA,18,58,14,Mouse,300ug,2w,ATXN3
1269456,15,NA,17,55,14,Mouse,300ug,2w,ATXN3
1269457,27,NA,30,70,27,Mouse,300ug,2w,ATXN3
1269458,31,NA,40,77,29,Mouse,300ug,2w,ATXN3
1269459,61,NA,58,95,47,Mouse,300ug,2w,ATXN3
1269460,56,NA,51,106,63,Mouse,300ug,2w,ATXN3
1269461,81,NA,67,125,77,Mouse,300ug,2w,ATXN3
1269462,61,NA,59,98,67,Mouse,300ug,2w,ATXN3
1269463,65,NA,61,100,72,Mouse,300ug,2w,ATXN3
1269464,79,NA,76,117,95,Mouse,300ug,2w,ATXN3
1269465,87,NA,106,54,85,Mouse,300ug,2w,ATXN3
1269466,39,NA,56,61,54,Mouse,300ug,2w,ATXN3
1269467,41,NA,61,57,53,Mouse,300ug,2w,ATXN3
1269468,28,NA,41,59,36,Mouse,300ug,2w,ATXN3
1269469,32,NA,44,54,40,Mouse,300ug,2w,ATXN3
1269470,42,NA,44,66,49,Mouse,300ug,2w,ATXN3
1269471,46,NA,57,53,51,Mouse,300ug,2w,ATXN3
1269472,60,NA,90,65,69,Mouse,300ug,2w,ATXN3
1269473,64,NA,79,66,73,Mouse,300ug,2w,ATXN3
1269474,60,NA,63,71,65,Mouse,300ug,2w,ATXN3
1269475,81,NA,101,71,77,Mouse,300ug,2w,ATXN3
1269476,74,NA,131,64,95,Mouse,300ug,2w,ATXN3
1269477,60,NA,71,75,66,Mouse,300ug,2w,ATXN3
1269478,52,NA,43,91,47,Mouse,300ug,2w,ATXN3
1269479,47,NA,51,83,58,Mouse,300ug,2w,ATXN3
1269480,49,NA,46,78,54,Mouse,300ug,2w,ATXN3
1269481,75,NA,61,84,62,Mouse,300ug,2w,ATXN3
1269482,71,NA,43,80,52,Mouse,300ug,2w,ATXN3
