Compound ID,ALT,homodimer_dG,monomer_dG,ddG_dimerization,wing5_homodimer_dG,wing3_homodimer_dG,wing5_wing3_dG
908408,67.0,-4.777066215607493,-0.1939021676551524,-4.389261880297188,,,
908416,425.0,-4.622829733346279,-0.18199007861467598,-4.258849576116927,,,
908420,105.0,-4.909713768605075,-0.1721325176355778,-4.565448733333919,,,
910956,992.0,-5.309757260169116,-0.22540704832644937,-4.8589431635162175,,,
910959,1311.0,-4.753046617905337,-0.12713196788304865,-4.49878268213924,,,
911019,1118.0,-3.666507500081785,-0.026579205451023772,-3.6133490891797373,,,
911101,1709.0,-5.030929013274604,-0.12192115188924488,-4.787086709496115,,,
911118,968.0,-5.4510292528349735,-0.23658111595467618,-4.977867020925621,,,
911144,1138.0,-4.89986554025828,-0.058865267717342705,-4.782135004823594,,,
911179,453.0,-6.038398182601487,-0.07209290132421568,-5.894212379953055,,,
911180,170.0,-6.065145148968416,-0.09980950889189395,-5.865526131184628,,,
923867,18.0,-12.415695852040702,-0.8280668139838272,-10.759562224073047,-12.415695852040702,-12.415695852040702,-12.842896859899046
935603,193.0,-5.558920058036272,-0.25046052316096656,-5.057999011714339,,,
935620,1883.0,-4.744427335311916,-0.11967397788569582,-4.505079379540525,,,
935658,72.0,-5.031141683289549,-0.3661203984206627,-4.298900886448224,,,
935696,702.5,-5.031141683289549,-0.3661203984206627,-4.298900886448224,,,
935697,1504.0,-5.182671553974175,-0.06617107414374765,-5.050329405686679,,0.0,
935698,1462.0,-5.2930546842740585,-0.18466774346415923,-4.92371919734574,,0.0,
935700,722.0,-4.661599926095625,-0.2721420715683125,-4.117315782959,,0.0,
935701,426.0,-3.6624292976302684,-0.05865191872022317,-3.545125460189822,,0.0,
935707,1334.0,-5.287607677990866,-0.1718013793396347,-4.944004919311596,,0.0,
935724,1630.0,-5.155076278106502,-0.39452472119857895,-4.366026835709343,,0.0,
935734,1253.0,-5.031141683289549,-0.3661203984206627,-4.298900886448224,,0.0,
935762,561.0,-5.155076278106502,-0.39452472119857895,-4.366026835709343,,0.0,
935782,680.0,-5.018215543930342,-0.38228633547800744,-4.253642872974328,,,
935850,661.0,-5.031141683289549,-0.3661203984206627,-4.298900886448224,,,
935851,513.0,-5.182671553974175,-0.06617107414374765,-5.050329405686679,,0.0,
935854,304.0,-4.661599926095625,-0.2721420715683125,-4.117315782959,,0.0,
935857,1270.0,-4.804100131837667,-0.14128203014801963,-4.521536071541628,,0.0,
935878,1805.0,-5.155076278106502,-0.39452472119857895,-4.366026835709343,,0.0,
935898,101.0,-5.018215543930342,-0.38228633547800744,-4.253642872974328,,,
935918,139.5,-5.155076278106502,-0.39452472119857895,-4.366026835709343,,,
935921,708.0,-4.428445334720918,-0.21074021052218964,-4.006964913676538,,,
935928,69.0,-5.031141683289549,-0.3661203984206627,-4.298900886448224,,,
935948,192.0,-4.934523567622838,-0.35192609017888005,-4.230671387265078,,0.0,
935958,97.0,-5.155076278106502,-0.39452472119857895,-4.366026835709343,,0.0,
935961,1068.0,-4.428445334720918,-0.21074021052218964,-4.006964913676538,,0.0,
935968,171.0,-5.031141683289549,-0.3661203984206627,-4.298900886448224,,0.0,
936006,38.0,-5.031141683289549,-0.3661203984206627,-4.298900886448224,,0.0,
936007,131.0,-5.182671553974175,-0.06617107414374765,-5.050329405686679,0.0,,0.0
936016,731.0,-5.018215543930342,-0.38228633547800744,-4.253642872974328,0.0,,0.0
936018,609.0,-5.287607677990866,-0.1718013793396347,-4.944004919311596,0.0,,0.0
936053,31.90625,-5.652478168296505,-0.21050860494275367,-5.231460958410998,,,
